γραμματοκιβώτιο,"γραμματοκιβώτιο, το",,,
γραμματόσημο,"γραμματόσημο, το",,,
γραμμή,"γραμμή, η",,,
γραπτός,"γραπτός, -ή, -ό",,,
γραφείο,"γραφείο, το",,,
γράφω,γράφω,,,
γραφή,"γραφή, η",,,
γρήγορος,"γρήγορος, -η, -ο",,,
γρήγορα,γρήγορα,,,
Γρηγόρης,"Γρηγόρης, o",,,
γυαλιά,"γυαλιά, τα",,,
Γυμνάσιο,"Γυμνάσιο, το",,,
γυμναστήριο,"γυμναστήριο, το",,,
γυμναστής,"γυμναστής, -τρια",,,
γυμναστική,"γυμναστική, η",,,
γυναίκα,"γυναίκα, η",,,
γυναικείος,"γυναικείος, -α, -ο",,,
γυρίζω,γυρίζω / γυρνάω,,,
γύρος,"γύρος, ο",,,
γωνία,"γωνία, η",,,
δανέζικος,"δανέζικος, -η, -ο",,,
Δανία,"Δανία, η",,,
δάσκαλος,"δάσκαλος, -α",,,
δάσος,"δάσος, το",,,
δάφνη,"δάφνη, η",,,
δείχνω,δείχνω,,,
δέκα,δέκα,,,
δεκαεννιά,δεκαεννιά,,,
δεκαέξι,δεκαέξι,,,
δεκαεπτά,δεκαεπτά,,,
δεκαοκτώ,δεκαοκτώ,,,
δεκαπέντε,δεκαπέντε,,,
δεκατέσσερις,"δεκατέσσερις, δεκατέσσερα",,,
δέκατος,δέκατος,,,
δεκατρείς,"δεκατρείς, δεκατρία",,,
Δεκέμβριος,"Δεκέμβριος, ο",,,
δελφίνι,"δελφίνι, το",,,
δέμα,"δέμα, το",,,
δέντρο,"δέντρο, το",,,
δεξιά,δεξιά,,,
Δευτέρα,"Δευτέρα, η",,,
δεύτερος,"δεύτερος, -η, -ο",,,
Δήμητρα,"Δήμητρα, η",,,
Δημήτρης,"Δημήτρης, ο",,,
δημητριακά,"δημητριακά, τα",,,
δημιουργώ,δημιουργώ,,,
δημοκρατία,"δημοκρατία, η",,,
δημόσιος,"δημόσιος, -α, -ο",,,
δημοσιογράφος,"δημοσιογράφος, ο/η",,,
Δημοτικό σχολείο,"Δημοτικό σχολείο, το",,,
διαβάζω,διαβάζω,,,
διαβατήριο,"διαβατήριο, το",,,
διάγραμμα,"διάγραμμα, το",,,
διαγράφω,διαγράφω,,,
διαγώνια,διαγώνια,,,
διαγώνισμα,"διαγώνισμα, το",,,
διαδίκτυο,"διαδίκτυο, το",,,
